Список государственных ведомств,,,,,
,,полномочный представитель Президента в Северо-Кавказском федеральном округе,Матовников Александр Анатольевич,26 июня 2018,22 января 2020 г.
,,полномочный представитель Президента в Северо-Кавказском федеральном округе,Чайка Юрий Яковлевич,22 января 2020 г.,
,,полномочный представитель Президента в Приволжском федеральном округе,Кириенко Сергей Владиленович,18 мая 2000,14 ноября 2005
,,полномочный представитель Президента в Приволжском федеральном округе,Коновалов Александр Владимирович,14 ноября 2005,12 мая 2008
,,полномочный представитель Президента в Приволжском федеральном округе,Рапота Григорий Алексеевич,14 мая 2008,14 декабря 2011
,,полномочный представитель Президента в Приволжском федеральном округе,Бабич Михаил Викторович,15 декабря 2011,24 августа 2018
,,полномочный представитель Президента в Приволжском федеральном округе,Комаров Игорь Анатольевич,7 сентября 2018,
,,полномочный представитель Президента в Уральском федеральном округе,Латышев Петр Михайлович,18 мая 2000,2 декабря 2008
,,полномочный представитель Президента в Уральском федеральном округе (и.о.),Крупкин Владимир Леонидович,2 декабря 2008,8 декабря 2008
,,полномочный представитель Президента в Уральском федеральном округе,Винниченко Николай Александрович,8 декабря 2008,6 сентября 2011
,,полномочный представитель Президента в Уральском федеральном округе,Куйвашев Евгений Владимирович,6 сентября 2011,14 мая 2012
,,полномочный представитель Президента в Уральском федеральном округе,Холманских Игорь Рюрикович,18 мая 2012,26 июня 2018
,,полномочный представитель Президента в Уральском федеральном округе,Цуканов Николай Николаевич,26 июня 2018,9 ноября 2020
,,полномочный представитель Президента в Уральском федеральном округе,Якушев Владимир Владимирович,9 ноября 2020,24 сентября 2024
,,полномочный представитель Президента в Уральском федеральном округе,Жога Артем Владимирович,2 октября 2024 г.,
,,полномочный представитель Президента в Северо-Западном федеральном округе,Черкесов Виктор Васильевич,18 мая 2000,11 марта 2003
,,полномочный представитель Президента в Северо-Западном федеральном округе,Матвиенко Валентина Ивановна,11 марта 2003,15 октября 2003
,,полномочный представитель Президента в Северо-Западном федеральном округе,Клебанов Илья Иосифович,1 ноября 2003,6 сентября 2011
,,полномочный представитель Президента в Северо-Западном федеральном округе,Винниченко Николай Александрович,6 сентября 2011,11 марта 2013
,,полномочный представитель Президента в Северо-Западном федеральном округе,Булавин Владимир Иванович,11 марта 2013,28 июля 2016
,,полномочный представитель Президента в Северо-Западном федеральном округе,Цуканов Николай Николаевич,28 июля 2016,25 декабря 2017
,,полномочный представитель Президента в Северо-Западном федеральном округе,Беглов Александр Дмитриевич,25 декабря 2017,3 октября 2018
,,полномочный представитель Президента в Северо-Западном федеральном округе,Гуцан Александр Владимирович,7 ноября 2018,24 сентября 2025
,,полномочный представитель Президента в Северо-Западном федеральном округе,Руденя Игорь Михайлович,29 сентября 2025,
,,полномочный представитель Президента в Сибирском федеральном округе,Драчевский Леонид Вадимович,18 мая 2000,9 сентября 2004
,,полномочный представитель Президента в Сибирском федеральном округе,Квашнин Анатолий Васильевич,9 сентября 2004,9 сентября 2010
,,полномочный представитель Президента в Сибирском федеральном округе,Толоконский Виктор Александрович,9 сентября 2010,12 мая 2014
,,полномочный представитель Президента в Сибирском федеральном округе,Рогожкин Николай Евгеньевич,12 мая 2014,28 июля 2016
,,полномочный представитель Президента в Сибирском федеральном округе,Меняйло Сергей Иванович,28 июля 2016,9 апреля 2021
,,полномочный представитель Президента в Сибирском федеральном округе,Серышев Анатолий Анатольевич,12 октября 2021 г.,
,,Заместитель Председателя Правительства Российской Федерации – полномочный представитель Президента Российской Федерации в Дальневосточном федеральном округе,Пуликовский Константин Борисович,18 мая 2000,14 ноября 2005
,,Заместитель Председателя Правительства Российской Федерации – полномочный представитель Президента Российской Федерации в Дальневосточном федеральном округе,Исхаков Камиль Шамильевич,14 ноября 2005,2 октября 2007
,,Заместитель Председателя Правительства Российской Федерации – полномочный представитель Президента Российской Федерации в Дальневосточном федеральном округе,Сафонов Олег Александрович,29 октября 2007,30 апреля 2009
,,Заместитель Председателя Правительства Российской Федерации – полномочный представитель Президента Российской Федерации в Дальневосточном федеральном округе,Ишаев Виктор Иванович,30 апреля 2009,31 августа 2013
,,Заместитель Председателя Правительства Российской Федерации – полномочный представитель Президента Российской Федерации в Дальневосточном федеральном округе,Трутнев Юрий Петрович,31 августа 2013 г.,
,,советник Президента,"Кобяков
 Антон Анатольевич",апрель 2014 г.,
,,"советник Президента, специальный представитель Президента по международному сотрудничеству в сфере транспорта",Левитин Игорь Евгеньевич,май 2024 г.,
,,советник Президента,Фадеев Валерий Александрович,21 октября 2019 г.,
,,советник Президента,Ямпольская Елена Александровна,14 мая 2024 г.,
,,"специальный представитель Президента по вопросам природоохранной деятельности, экологии и транспорта",Иванов Сергей Борисович,12 августа 2016 г.,
,,полномочный представитель Президента в Совете Федерации,Муравьев Артур Алексеевич,29 октября 2013 г.,
,,полномочный представитель Президента в Государственной Думе,Минх Гарри Владимирович,2009 г.,
,,полномочный представитель Президента в Конституционном Суде,Мезенцев Дмитрий Федорович,17 апреля 2025 г.,
,,Уполномоченный при Президенте по правам ребенка,"Львова-Белова
 Мария Алексеевна",27 октября 2021 г.,
,,,,,
Счетная палата,,Председатель Счетной палаты РФ,Степашин Сергей Вадимович,19 апреля 2000,20 сентября 2013
,,Председатель Счетной палаты РФ,Голикова Татьяна Алексеевна,20 сентября 2013,18 мая 2018
,,Председатель Счетной палаты РФ,Кудрин Алексей Леонидович,18 мая 2018,30 ноября 2022
,,Председатель Счетной палаты РФ (и.о.),Изотова Галина Сергеевна,30 ноября 2022,14 мая 2024
,,Председатель Счетной палаты РФ,Ковальчук Борис Юрьевич,14 мая 2024,
,,Заместитель Председателя,Семиколенных Александр Николаевич,31 января 2001,июнь 2010 г.
,,Заместитель Председателя,Горегляд Валерий Павлович,17 июня 2010,25 сентября 2013
,,Заместитель Председателя,Изотова Галина Сергеевна,25 сентября 2019,
,,Аудитор направления доходов,Батуркин Андрей Николаевич,24 сентября 2025,
,,Аудитор направления промышленности и транспорта,Бойцова Елена Александровна,24 сентября 2025,
,,"Аудитор направления образования, науки и культуры",Зайцев Дмитрий Александрович,22 ноября 2018,
,,Аудитор направления международного сотрудничества,Зайцев Максим Сергеевич,23 сентября 2025,
,,Аудитор направления физической культуры и спорта,Каграманян Игорь Николаевич,23 сентября 2025,
,,"Аудитор направления обороны, национальной безопасности и правоохранительной деятельности",Крусткалн Андрей Феликсович,14 марта 2025,
,,"Аудитор направления природопользования, АПК и здравоохранения",Мамедов Сергей Валерьевич,23 июня 2021,
,,Аудитор направления по вопросам топливно-энергетического комплекса,Нилов Олег Анатольевич,23 сентября 2025,
,,Аудитор направления государственного управления,Орлова Светлана Юрьевна,23 ноября 2018,
,,Аудитор направления регионального развития и ЖКХ,Трунова Наталья Александровна,23 июня 2021,
,,"Аудитор направления цифрового развития, финансовых рынков и СМИ",Шилков Данил Евгеньевич,23 сентября 2025,
,,Аудитор направления кономической политики и устойчивого развития,Щапов Михаил Викторович,23 сентября 2025,
,Департамент аудита здравоохранения и спорта,Директор департамента,Мухтасарова Татьяна Радиковна,25 марта 2025,
,Департамент аудита доходов,Директор департамента,Мельник Алексей Михайлович,1 апреля 2016,
,Департамент аудита государственного управления,Директор департамента,Грановский Алексей Андреевич,1 декабря 2021,
,Департамент аудита природопользования и АПК,Директор департамента,Нероев Сергей Владимирович,22 октября 2013,
,Департамент аудита регионального развития и ЖКХ,Директор департамента,Ковалевич Михаил Константинович,23 октября 2013,
,Департамент аудита финансовых рынков и государственного долга,Директор департамента,Лаптев Алексей Петрович,22 октября 2024,
,"Департамент аудита обороны, национальной безопасности и правоохранительной деятельности",Директор департамента,Кириллов Игорь Вячеславович,9 июня 2021,
,Департамент аудита транспорта и международного сотрудничества,Директор департамента,?,?,
,Департамент аудита экономического развития,Директор департамента,Косьяненко Антон Валерьевич,14 декабря 2018,
,"Департамент аудита образования, науки и инноваций",Директор департамента,Рожкова Елена Сергеевна,?,
,Департамент аудита в сфере закупок и энергетического комплекса,Директор департамента,Дудкин Сергей Анатольевич,5 марта 2025,
,Департамент аудита цифрового развития и государственной поддержки предпринимательства,Директор департамента,Войнов Андрей Юрьевич,31 января 2025,
,Департамент аудита промышленности и технологического развития,Директор департамента,?,?,
,Департамент аудита социальной защиты и культуры,Директор департамента,Самарина Ольга Викторовна,12 января 2015,
,Департамент аудита закупочной деятельности,Директор департамента,Горбачева Ольга Викторовна,23 сентября 2025,
,Департамент аудита информационных систем и проектов цифровизации,Директор департамента,Беликова Елена Александровна,6 ноября 2025,
,Департамент аудита проектов капитального строительства,Директор департамента,?,?,
,Департамент внешних коммуникаций,Директор департамента,Есаулов Денис Иванович,?,
,Департамент исследований и методологии,Директор департамента,Лагошин Сергей Дмитриевич,5 марта 2024,
,Департамент международного и регионального сотрудничества,Директор департамента,Махмутов Тимур Анварович,23 июля 2019,
,Департамент по развитию человеческого капитала,Директор департамента,Бобрицкий Эдуард Вадимович,10 апреля 2025,
,Департамент стратегического развития,Директор департамента,Кучерявый Павел Вадимович,?,
,Департамент управления делами и документооборота,Директор департамента,Лисюкова Наталия Андреевна,27 октября 2025,
,Департамент финансового аудита,Директор департамента,Кибитов Артем Игоревич,4 июня 2024,
,Департамент цифровой трансформации,Директор департамента,Сохоров Валерий Александрович,22 марта 2025,
,Правовой департамент,Директор департамента,Котович Станислав Стефанович,8 октября 2019,
,Сводный департамент аудита федерального бюджета,Директор департамента,Дубинкин Вадим Вадимович,5 мая 2005,
,Финансовый департамент,Директор департамента,Тарасова Евгения Владиславовна,9 января 2025,
,"Департамент аудита программ, проектов и показателей национальных целей",Директор департамента,Яременко Игорь Александрович,10 октября 2025,
,Департамент внутреннего и налогового контроля,Директор департамента,Бобров Петр Андреевич,10 октября 2025,
,,,,,
Правительство Москвы,,Мэр Москвы,Лужков Юрий Михайлович,,28 сентября 2010
,,Мэр Москвы,Ресин Владимир Иосифович,28 сентября 2010,21 октября 2010
,,Мэр Москвы,Собянин Сергей Семенович,21 октября 2010,
,,Заместитель Мэра Москвы в Правительстве Москвы — руководитель Аппарата Мэра и Правительства Москвы,"Сергунина
 Наталья
 Алексеевна",19 сентября 2018,
,,Заместитель Мэра Москвы в Правительстве Москвы по вопросам жилищно-коммунального хозяйства и благоустройства,"Бирюков
 Петр
 Павлович",2010 г.,
,,Заместитель Мэра Москвы в Правительстве Москвы по вопросам региональной безопасности и информационной политики,"Горбенко
 Александр
 Николаевич",22 февраля 2011,
,,"Заместитель Мэра Москвы в Правительстве Москвы, Руководитель Департамента экономической политики и развития города Москвы",Багреева Мария Андреевна,апрель 2024 г.,
,,Заместитель Мэра Москвы в Правительстве Москвы по вопросам социального развития,"Ракова
 Анастасия
 Владимировна",19 сентября 2018,
,,Заместитель Мэра Москвы в Правительстве Москвы по вопросам градостроительной политики и строительства,"Ефимов
 Владимир
 Владимирович",17 апреля 2024,
,,"Заместитель Мэра Москвы в Правительстве Москвы, Руководитель Департамента транспорта и развития дорожно-транспортной инфраструктуры города Москвы",Ликсутов Максим Станиславович,25 сентября 2012,
,,"Министр Правительства Москвы, Начальник Главного контрольного управления города Москвы",Данчиков Евгений Александрович,28 декабря 2018,
,Департамент финансов города Москвы,"Министр Правительства Москвы, Руководитель Департамента финансов города Москвы",Зяббарова Елена Юрьевна,1 октября 2013 г.,
,Департамент региональной безопасности и противодействия коррупции города Москвы,Руководитель Департамента,Регнацкий Владимир Владимирович,?,
,Департамент внешнеэкономических и международных связей города Москвы,"Министр Правительства Москвы, Руководитель Департамента внешнеэкономических и международных связей города Москвы",Черемин Сергей Евгеньевич,8 ноября 2010,
,Департамент инвестиционной и промышленной политики города Москвы,"Министр Правительства Москвы, Руководитель Департамента инвестиционной и промышленной политики города Москвы","Гарбузов 
 Анатолий Михайлович",2 июля 2024,
,,,,,
Государственная Дума РФ,,Председатель,Селезнев Геннадий Николаевич,,29 декабря 2003
,,Председатель,Грызлов Борис Вячеславович,29 декабря 2003,21 декабря 2011
,,Председатель,Нарышкин Сергей Евгеньевич,21 декабря 2011,5 октября 2016
,,Председатель,Володин Вячеслав Викторович,5 октября 2016,
,Комитет по бюджету и налогам,Председатель комитета,Жуков Александр Дмитриевич,26 января 2000,16 января 2004
,Комитет по бюджету и налогам,Председатель комитета,Васильев Юрий Викторович,16 января 2004,21 декабря 2011
,Комитет по бюджету и налогам,Председатель комитета,Макаров Андрей Михайлович,21 декабря 2011,
,Комитет по кредитным организациям и финансовым рынкам,Председатель комитета,Шохин Александр Николаевич,19 января 2000,3 апреля 2002
,Комитет по бюджету и налогам,Председатель комитета,Зубов Валерий Михайлович,3 апреля 2002,16 января 2004
,Комитет по бюджету и налогам,Председатель комитета,Резник Владислав Матусович,16 января 2004,24 декабря 2007
,Комитет по финансовому рынку,Председатель комитета,Резник Владислав Матусович,24 декабря 2007,21 декабря 2011
,Комитет по финансовому рынку,Председатель комитета,Бурыкина Наталья Викторовна,21 декабря 2011,17 марта 2015
,Комитет по финансовому рынку,Председатель комитета,Гончар Николай Николаевич,17 марта 2015,5 октября 2016
,Комитет по финансовому рынку,Председатель комитета,Аксаков Анатолий Геннадьевич,5 октября 2016,
,Комитет по экономической политике и предпринимательству,Председатель комитета,Глазьев Сергей Юрьевич,19 января 2000,3 апреля 2002
,Комитет по экономической политике и предпринимательству,Председатель комитета,Томчин Григорий Алексеевич,3 апреля 2002,16 января 2004
,Комитет по экономической политике и предпринимательству,Председатель комитета,Драганов Валерий Гаврилович,16 января 2004,10 ноября 2006
,Комитет по экономической политике и предпринимательству,Председатель комитета,Федоров Евгений Алексеевич,10 ноября 2006,21 декабря 2011
,"Комитет по экономической политике, инновационному развитию и предпринимательству",Председатель комитета,Руденский Игорь Николаевич,21 декабря 2011,21 апреля 2015
,"Комитет по экономической политике, инновационному развитию и предпринимательству",Председатель комитета,Аксаков Анатолий Геннадьевич,21 апреля 2015,5 октября 2016
,"Комитет по экономической политике, инновационному развитию и предпринимательству",Председатель комитета,Жигарев Сергей Александрович,5 октября 2016,?
,Комитет по экономической политике,Председатель комитета,Топилин Максим Анатольевич,12 октября 2021,
,"Комитет по промышленности, строительству и наукоемким технологиям",Председатель комитета,Маслюков Юрий Дмитриевич,19 января 2000,3 апреля 2002
,"Комитет по промышленности, строительству и наукоемким технологиям",Председатель комитета,Шаккум Мартин Люцианович,3 апреля 2002,16 января 2004
,"Комитет по промышленности, строительству и наукоемким технологиям",Председатель комитета,Шаккум Мартин Люцианович,16 января 2004,24 декабря 2007
,Комитет по промышленности,Председатель комитета,Маслюков Юрий Дмитриевич,24 декабря 2007,1 апреля 2010
,Комитет по промышленности,Председатель комитета,Собко Сергей Васильевич,7 июля 2010,?
,Комитет по промышленности и торговле,Председатель комитета,Гутенев Владимир Владимирович,12 октября 2021,
,Комитет по строительству и земельным отношениям,Председатель комитета,Шаккум Мартин Люцианович,24 декабря 2007,21 декабря 2011
,Комитет по строительству и земельным отношениям,Председатель комитета,Русских Алексей Юрьевич,21 декабря 2011,?
,Комитет по транспорту и строительству,Председатель комитета,Москвичёв Евгений Сергеевич,5 октября 2016,?
,Комитет по науке и наукоемким технологиям,Председатель комитета,Черешнев Валерий Александрович,24 декабря 2007,?
,"Комитет по экономической политике, предпринимательству и туризму",Председатель комитета,Сайкин Валерий Тимофеевич,19 января 2000,3 апреля 2002
,Комитет по труду и социальной политике,Председатель комитета,Селиванов Андрей Владимирович,3 апреля 2002,16 января 2004
,Комитет по труду и социальной политике,Председатель комитета,Исаев Андрей Константинович,16 января 2004,21 декабря 2011
,"Комитет по труду, социальной политике и делам ветеранов",Председатель комитета,Исаев Андрей Константинович,21 декабря 2011,11 ноября 2014
,"Комитет по труду, социальной политике и делам ветеранов",Председатель комитета,Баталина Ольга Юрьевна,11 ноября 2014,5 октября 2016
,"Комитет по труду, социальной политике и делам ветеранов",Председатель комитета,Нилов Ярослав Евгеньевич,5 октября 2016,
,Комитет по безопасности и противодействию коррупции,Председатель комитета,Пискарев Василий Иванович,5 октября 2016,
,,,,,
Совет Федерации,,Председатель,Миронов Сергей Михайлович,5 декабря 2001,18 мая 2011
,,Председатель,Торшин Александр Порфирьевич,18 мая 2011,21 сентября 2011
,,Председатель,Матвиенко Валентина Ивановна,21 сентября 2011,
,,Первый заместитель,Горегляд Валерий Павлович,30 января 2002,28 января 2004
,,Первый заместитель,Торшин Александр Порфирьевич,19 сентября 2008,20 января 2015 года
,,Первый заместитель,Федоров Николай Васильевич,30 сентября 2015,22 сентября 2020
,,Первый заместитель,Яцкин Андрей Владимирович,23 сентября 2020,
,,Первый заместитель,Турчак Андрей Анатольевич,23 сентября 2020,4 июня 2024
,,Первый заместитель,Якушев Владимир Владимирович,25 сентября 2024,
,,Заместитель председателя,Горегляд Валерий Павлович,26 декабря 2001,30 января 2002
,,Заместитель председателя,Вихарев Андрей Анатольевич,30 января 2002,28 мая 2003
,,Заместитель председателя,Николаев Михаил Ефимович,30 января 2002,23 июня 2010
,,Заместитель председателя,Торшин Александр Порфирьевич,30 января 2002,19 сентября 2008
,,Заместитель председателя,Мезенцев Дмитрий Федорович,28 января 2004,8 июня 2009
,,Заместитель председателя,Орлова Светлана Юрьевна,28 января 2004,27 марта 2013
,,Заместитель председателя,Воробьев Юрий Леонидович,19 сентября 2008,
,,Заместитель председателя,Штыров Вячеслав Анатольевич,24 ноября 2010,27 сентября 2014
,,Заместитель председателя,Умаханов Ильяс Магомед-Саламович,15 декабря 2010,17 марта 2021
,,Заместитель председателя,Бушмин Евгений Викторович,27 апреля 2013,6 октября 2019
,,Заместитель председателя,Карелова Галина Николаевна,1 октября 2014,25 сентября 2023
,,Заместитель председателя,Турчак Андрей Анатольевич,8 ноября 2017,23 сентября 2020
,,Заместитель председателя,Журавлев Николай Андреевич,6 ноября 2019,
,,Заместитель председателя,Косачев Константин Иосифович,17 марта 2021,
,,Заместитель председателя,Святенко Инна Юрьевна,25 сентября 2023,
,"Комитет по бюджету, налоговой политике, финансовому, валютному и таможенному регулированию, банковской деятельности",Председатель комитета,Титов Константин Алексеевич,27 сентября 2000,27 декабря 2001
,Комитет по бюджету,Председатель комитета,Бушмин Евгений Викторович,30 января 2002,2011 г.
,Комитет по финансовым рынкам и денежному обращению,Председатель комитета,Васильев Сергей Александрович,30 января 2002,3 сентября 2007
,Комитет по финансовым рынкам и денежному обращению,Председатель комитета,Ананьев Дмитрий Николаевич,26 октября 2007,
,Комитет Совета Федерации по бюджету и финансовым рынкам,Председатель комитета,Бушмин Евгений Викторович,25 ноября 2011,30 октября 2013
,Комитет Совета Федерации по бюджету и финансовым рынкам,Председатель комитета,Рябухин Сергей Николаевич,30 октября 2013,25 сентября 2019
,Комитет Совета Федерации по бюджету и финансовым рынкам,Председатель комитета,Журавлёв Николай Андреевич,25 сентября 2019,25 ноября 2019
,Комитет Совета Федерации по бюджету и финансовым рынкам,Председатель комитета,Артамонов Анатолий Дмитриевич,26 февраля 2020,
,Комитет Совета Федерации по экономической политике,Председатель комитета,Яковлев Владимир Анатольевич,28 июня 2000,1 января 2002
,Комитет Совета Федерации по экономической политике,Председатель комитета,Молчанов Андрей Юрьевич,25 ноября 2011,5 апреля 2013
,Комитет Совета Федерации по экономической политике,Председатель комитета,Неелов Юрий Васильевич,26 июня 2013,29 ноября 2017
,Комитет Совета Федерации по экономической политике,Председатель комитета,Мезенцев Дмитрий Федорович,29 ноября 2017,29 мая 2019
,Комитет Совета Федерации по экономической политике,Председатель комитета,Кутепов Андрей Викторович,29 мая 2019,
,"Комитет по экономической политике, предпринимательству и собственности",Председатель комитета,Оганян Оганес Арменакович,30 января 2002,декабрь 2011 г.
,Комитет Совета Федерации по социальной политике,Председатель комитета,Петренко Валентина Александровна,30 января 2002,2018 г.
,Комитет Совета Федерации по социальной политике,Председатель комитета,Рязанский Валерий Владимирович,25 ноября 2011,30 января 2020
,Комитет Совета Федерации по социальной политике,Председатель комитета,Святенко Инна Юрьевна,30 января 2020,сентябрь 2024 г.
,Комитет Совета Федерации по социальной политике,Председатель комитета,Перминова Елена Алексеевна,25 сентября 2023,сентябрь 2024 г.